"Indicator","Age Group","Country","Sex","Year","WHO region","Display Value","Numeric","Low","High","Comments"
"BMI ? 25 (age-standardized estimate)","20+","","Male","2008","Africa","22.9 [19.8-26.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Male","2008","Americas","62.6 [60.5-64.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Male","2008","Eastern Mediterranean","41.7 [37.7-46.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Male","2008","Europe","58.3 [55.9-60.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Male","2008","South-East Asia","11.7 [9.5-14.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Male","2008","Western Pacific","25.9 [22.5-29.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Male","2008","Global","33.8 [32.3-35.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Female","2008","Africa","30.5 [28.5-32.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Female","2008","Americas","61.2 [59.0-63.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Female","2008","Eastern Mediterranean","50.5 [46.1-55.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Female","2008","Europe","51.2 [48.9-53.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Female","2008","South-East Asia","15.7 [13.2-18.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Female","2008","Western Pacific","24.8 [20.4-29.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Female","2008","Global","35.1 [33.5-36.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Both sexes","2008","Africa","26.9 [25.0-28.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Both sexes","2008","Americas","61.9 [60.4-63.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Both sexes","2008","Eastern Mediterranean","46.0 [43.0-49.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Both sexes","2008","Europe","54.8 [53.1-56.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Both sexes","2008","South-East Asia","13.7 [12.0-15.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Both sexes","2008","Western Pacific","25.4 [22.5-28.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Both sexes","2008","Global","34.5 [33.4-35.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Male","2008","Low income","14.5 [12.1-17.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Male","2008","Lower middle income","22.6 [20.4-25.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Male","2008","Upper middle income","56.9 [54.7-59.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Male","2008","High income","59.3 [57.7-61.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Female","2008","Low income","18.6 [16.8-20.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Female","2008","Lower middle income","26.2 [23.5-29.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Female","2008","Upper middle income","58.9 [56.9-60.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Female","2008","High income","48.8 [46.7-50.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Both sexes","2008","Low income","16.6 [15.1-18.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Both sexes","2008","Lower middle income","24.4 [22.6-26.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Both sexes","2008","Upper middle income","58.0 [56.6-59.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","","Both sexes","2008","High income","54.1 [52.8-55.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Afghanistan","Male","2008","Eastern Mediterranean","10.0 [1.8-27.2]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Albania","Male","2008","Europe","60.5 [45.1-72.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Algeria","Male","2008","Africa","41.8 [31.5-53.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Andorra","Male","2008","Europe","65.9 [47.4-79.7]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Angola","Male","2008","Africa","20.4 [4.4-42.6]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Antigua and Barbuda","Male","2008","Americas","54.4 [31.9-72.8]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Argentina","Male","2008","Americas","66.8 [58.3-74.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Armenia","Male","2008","Europe","49.2 [40.2-57.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Australia","Male","2008","Western Pacific","66.5 [62.6-70.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Austria","Male","2008","Europe","56.9 [40.5-69.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Azerbaijan","Male","2008","Europe","52.0 [44.5-59.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Bahamas","Male","2008","Americas","66.0 [46.6-80.1]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Bahrain","Male","2008","Eastern Mediterranean","70.2 [61.3-77.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Bangladesh","Male","2008","South-East Asia","7.6 [2.8-15.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Barbados","Male","2008","Americas","60.8 [45.1-72.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Belarus","Male","2008","Europe","56.7 [34.0-75.0]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Belgium","Male","2008","Europe","59.8 [49.8-68.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Belize","Male","2008","Americas","65.4 [57.7-71.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Benin","Male","2008","Africa","20.4 [14.9-26.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Bhutan","Male","2008","South-East Asia","24.5 [12.5-37.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Bolivia (Plurinational State of)","Male","2008","Americas","40.4 [25.1-56.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Bosnia and Herzegovina","Male","2008","Europe","61.9 [52.7-69.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Botswana","Male","2008","Africa","18.3 [12.7-24.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Brazil","Male","2008","Americas","53.5 [47.1-59.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Brunei Darussalam","Male","2008","Western Pacific","35.8 [13.9-59.5]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Bulgaria","Male","2008","Europe","61.2 [52.6-68.3]","","","",""
