"Indicator","Age Group","Country","Sex","Year","WHO region","Display Value","Numeric","Low","High","Comments"
"Mean BMI (kg/m2) (age-standardized estimate)","20+","","Male","2008","Global","23.8 [23.6-24.0]","","","",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","","Female","2008","Global","24.2 [23.9-24.4]","","","",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1980","Eastern Mediterranean","21.4 [18.7-24.2]","21.40000","18.70000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1981","Eastern Mediterranean","21.4 [18.8-24.1]","21.40000","18.80000","24.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1982","Eastern Mediterranean","21.4 [18.8-24.0]","21.40000","18.80000","24.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1983","Eastern Mediterranean","21.4 [18.9-23.9]","21.40000","18.90000","23.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1984","Eastern Mediterranean","21.4 [19.0-23.8]","21.40000","19.00000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1985","Eastern Mediterranean","21.3 [19.0-23.8]","21.30000","19.00000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1986","Eastern Mediterranean","21.3 [19.0-23.7]","21.30000","19.00000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1987","Eastern Mediterranean","21.3 [19.0-23.7]","21.30000","19.00000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1988","Eastern Mediterranean","21.3 [19.0-23.6]","21.30000","19.00000","23.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1989","Eastern Mediterranean","21.2 [19.0-23.5]","21.20000","19.00000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1990","Eastern Mediterranean","21.2 [19.0-23.5]","21.20000","19.00000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1991","Eastern Mediterranean","21.2 [19.0-23.4]","21.20000","19.00000","23.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1992","Eastern Mediterranean","21.1 [18.9-23.3]","21.10000","18.90000","23.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1993","Eastern Mediterranean","21.0 [18.9-23.3]","21.00000","18.90000","23.30000",""
